Ticker,Company,Years of Reporting
AAPL,Apple,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
ADBE,Adobe,"2015, 2016, 2017, 2018, 2019, 2020"
AMZN,Amazon,"2015, 2016, 2017, 2018, 2019, 2020"
CMCSA,Comcast,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
CSCO,Cisco,"2014, 2015, 2016, 2017, 2018, 2019, 2020"
EBAY,eBay,2021
ETSY,Etsy,"2015, 2016, 2017, 2018, 2019, 2020"
GOOGL,Alphabet,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
IBM,IBM,2020
META,Meta Platforms,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
MSFT,Microsoft,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
NFLX,Netflix,"2019, 2020"
T,AT&T,"2014, 2015, 2016, 2017, 2018, 2019, 2020"
TMUS,T-Mobile US,"2015, 2016, 2017, 2018, 2019, 2020"
VZ,Verizon,"2014, 2015, 2016, 2017, 2018, 2019, 2020"