Ticker,US Company,Score
AEE,Ameren,51.495 
AEP,American Elec Power,91.287 
AMT,American Tower,80.860 
ATO,Atmos Energy,44.557 
AWK,American Water Works,68.752 
CCI,Crown Castle Intl,69.799 
CMS,CMS Energy,87.888 
CNP,CenterPoint Energy,56.677 
CSX,CSX,78.474 
D,Dominion Energy,63.582 
DTE,DTE Energy,49.985 
DUK,Duke Energy,79.397 
EIX,Edison Intl,87.028 
ES,Eversource Energy,86.310 
ETR,Entergy,68.034 
EVRG,Evergy,49.361 
EXC,Exelon,80.165 
KMI,Kinder Morgan,70.692 
LNT,Alliant Energy,57.696 
NEE,NextEra Energy,70.091 
NI,NiSource,65.429 
NSC,Norfolk Southern,54.434 
OKE,ONEOK,74.682 
PCG,PG&E,80.724 
PNW,Pinnacle West Cap,32.971 
PPL,PPL,63.200 
SBAC,SBA Communications,60.785 
SO,Southern Co,82.165 
SRE,Sempra Energy,88.411 
TRGP,Targa Resources,53.618 
UNP,Union Pacific,62.164 
WEC,WEC Energy,75.315 
WMB,Williams Co,73.719 