Ticker,Companies
ADM,Archer-Daniels-Midland
AKAM,Akamai
AON,Aon
AVY,Avery
BALL,Ball
BIO,Bio-Rad Laboratories
BK,BNY Mellon
BKR,Baker Hughes
BMY,Bristol-Myers Squibb
CAH,Cardinal
CTSH,Cognizant
CVX,Chevron
DOW,Dow Chemical Co
GE,General Electric
GS,Goldman Sachs
HAL,Halliburton
HPE,Hewlett-Packard
IBM,IBM
IR,Ingersoll-Rand
JCI,Johnson Controls
JNJ,Johnson & Johnson
JNPR,Juniper Networks
JPM,JPMorgan
KHC,Kraft
LLY,Eli Lilly
LVS,Las Vegas Sands
MS,Morgan Stanley
MSFT,Microsoft
ORCL,Oracle
PFE,Pfizer
PTC,PTC
QCOM,Qualcomm
RL,Ralph Lauren
ROK,Rockwell Automation
SYK,Stryker
TSN,Tyson Foods
TXT,Textron
WMT,Walmart
ZBH,Biomet